"corp_name","ticker","corp_code","agency","long_term_rating","long_term_outlook","long_term_date","short_term_rating","short_term_outlook","short_term_date","source_url"
"(주)세아창원특수강","","","한국신용평가","A+","안정적","2026.03.30","A2+","","2026.03.30","https://www.kisrating.com/"
"(주)세아홀딩스","","","한국신용평가","A","안정적","2026.06.22","A2","","2026.06.22","https://www.kisrating.com/"
"(주)셀트리온","","","한국신용평가","","","","A1","","2026.05.28","https://www.kisrating.com/"
"(주)시선인터내셔널","","","한국신용평가","BB","안정적","2026.06.16","","","","https://www.kisrating.com/"
"(주)신세계","","","한국신용평가","AA","안정적","2026.06.15","A1","","2026.06.15","https://www.kisrating.com/"
"(주)신세계동대구복합환승센터","","","한국신용평가","","","","A1","","2026.06.12","https://www.kisrating.com/"
"(주)신세계사이먼","","","한국신용평가","A+","안정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)신세계센트럴","","","한국신용평가","AA-","안정적","2026.06.11","A1","","2026.06.11","https://www.kisrating.com/"
"(주)신세계인터내셔날","","","한국신용평가","","","","A1","","2026.06.22","https://www.kisrating.com/"
"(주)신세계푸드","","","한국신용평가","A+","안정적","2026.06.12","","","","https://www.kisrating.com/"
"(주)신원","","","한국신용평가","BBB-","부정적","2026.04.30","","","","https://www.kisrating.com/"
"(주)신한금융지주회사","","","한국신용평가","AAA","안정적","2026.06.24","A1","","2026.06.29","https://www.kisrating.com/"
"(주)신한알파위탁관리부동산투자회사","","","한국신용평가","","","","A2-","","2026.03.13","https://www.kisrating.com/"
"(주)신한은행","","","한국신용평가","AAA","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)씨제이라이브시티","","","한국신용평가","","","","A1","","2026.06.09","https://www.kisrating.com/"
"(주)씨제이이엔엠","","","한국신용평가","AA-","안정적","2026.06.09","A1","","2026.06.09","https://www.kisrating.com/"
"(주)아모레퍼시픽","","","한국신용평가","","","","A1","","2026.06.19","https://www.kisrating.com/"
"(주)아이비케이캐피탈","","","한국신용평가","AA-","안정적","2026.06.15","A1","","2026.06.15","https://www.kisrating.com/"
"(주)아이엠금융지주","","","한국신용평가","AAA","안정적","2026.07.09","","","","https://www.kisrating.com/"
"(주)아이엠뱅크","","","한국신용평가","AAA","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)아이엠증권","","","한국신용평가","","","","A1","","2026.06.30","https://www.kisrating.com/"
"(주)아이엠캐피탈","","","한국신용평가","AA-","안정적","2026.06.10","A1","","2026.06.16","https://www.kisrating.com/"
"(주)알루코","","","한국신용평가","BBB-","안정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)애큐온저축은행","","","한국신용평가","BBB","안정적","2026.04.29","","","","https://www.kisrating.com/"
"(주)애큐온캐피탈","","","한국신용평가","A","안정적","2026.06.17","A2","","2026.06.17","https://www.kisrating.com/"
"(주)앱토크롬","","","한국신용평가","B-","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)에너닷","","","한국신용평가","B-","안정적","2026.05.22","","","","https://www.kisrating.com/"
"(주)에스비아이저축은행","","","한국신용평가","A","안정적","2026.06.26","","","","https://www.kisrating.com/"
"(주)에스비에스","","","한국신용평가","AA","안정적","2026.06.26","A1","","2026.06.26","https://www.kisrating.com/"
"(주)에스알","","","한국신용평가","","","","A1","","2026.06.24","https://www.kisrating.com/"
"(주)에스파워","","","한국신용평가","A+","안정적","2026.05.13","","","","https://www.kisrating.com/"
"(주)에이션패션","","","한국신용평가","BBB-","안정적","2025.12.19","","","","https://www.kisrating.com/"
"(주)에이치에스효성","","","한국신용평가","","","","A2","","2026.06.10","https://www.kisrating.com/"
"(주)에코비트","","","한국신용평가","A+","안정적","2026.06.29","A2+","","2026.06.29","https://www.kisrating.com/"
"(주)에코프로","","","한국신용평가","A-","안정적","2026.04.23","","","","https://www.kisrating.com/"
"(주)엔씨","","","한국신용평가","AA-","안정적","2026.06.22","","","","https://www.kisrating.com/"
"(주)엔에스쇼핑","","","한국신용평가","","","","A2","","2026.06.17","https://www.kisrating.com/"
"(주)엔에이치인터내셔널","","","한국신용평가","B+","안정적","2026.05.21","","","","https://www.kisrating.com/"
"(주)엔켐","","","한국신용평가","BB","부정적","2026.06.29","","","","https://www.kisrating.com/"
"(주)엘아이지","","","한국신용평가","AA-","안정적","2026.06.12","A1","","2026.06.12","https://www.kisrating.com/"
"(주)엘앤에프","","","한국신용평가","BB+","부정적","2026.05.07","","","","https://www.kisrating.com/"
"(주)엘에스","","","한국신용평가","A+","긍정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)엘에스네트웍스","","","한국신용평가","BBB+","안정적","2026.06.26","A3+","","2026.06.26","https://www.kisrating.com/"
"(주)엘엑스인터내셔널","","","한국신용평가","AA-","안정적","2026.05.22","","","","https://www.kisrating.com/"
"(주)엘엑스하우시스","","","한국신용평가","A+","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)엘엑스홀딩스","","","한국신용평가","AA-","안정적","2026.06.12","","","","https://www.kisrating.com/"
"(주)엘지씨엔에스","","","한국신용평가","AA","안정적","2026.04.30","","","","https://www.kisrating.com/"
"(주)엘지에너지솔루션","","","한국신용평가","AA","안정적","2026.06.19","","","","https://www.kisrating.com/"
"(주)엘지유플러스","","","한국신용평가","AA+","안정적","2026.05.14","A1","","2026.05.14","https://www.kisrating.com/"
"(주)엘지화학","","","한국신용평가","AA+","부정적","2026.06.23","","","","https://www.kisrating.com/"
"(주)엠앤씨솔루션","","","한국신용평가","BBB","긍정적","2026.05.08","","","","https://www.kisrating.com/"
"(주)예가람저축은행","","","한국신용평가","BBB","안정적","2026.06.26","","","","https://www.kisrating.com/"
"(주)예스코","","","한국신용평가","AA-","안정적","2026.06.08","","","","https://www.kisrating.com/"
"(주)오텍","","","한국신용평가","BB-","부정적","2026.06.17","","","","https://www.kisrating.com/"
"(주)와이엠","","","한국신용평가","BB-","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)우리금융저축은행","","","한국신용평가","A","안정적","2026.05.07","","","","https://www.kisrating.com/"
"(주)우리금융지주","","","한국신용평가","AAA","안정적","2026.06.23","","","","https://www.kisrating.com/"
"(주)우리은행","","","한국신용평가","AAA","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)우리카드","","","한국신용평가","AA","안정적","2026.06.30","A1","","2026.06.30","https://www.kisrating.com/"
"(주)우리투자증권","","","한국신용평가","","","","A1","","2026.06.30","https://www.kisrating.com/"
"(주)윌비스","","","한국신용평가","CCC↓","","2026.04.14","","","","https://www.kisrating.com/"
"(주)유니켐","","","한국신용평가","BB-","부정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)이랜드월드","","","한국신용평가","BBB","안정적","2026.06.10","A3","","2026.04.09","https://www.kisrating.com/"
"(주)이마트","","","한국신용평가","AA-","안정적","2026.06.29","A1","","2026.06.29","https://www.kisrating.com/"
"(주)이원","","","한국신용평가","A+","안정적","2026.04.29","A1","","2026.04.29","https://www.kisrating.com/"
"(주)이지스레지던스위탁관리부동산투자회사","","","한국신용평가","A-","안정적","2026.06.17","","","","https://www.kisrating.com/"
"(주)전북은행","","","한국신용평가","AA+","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)제이에스코퍼레이션","","","한국신용평가","BBB-","안정적","2026.06.25","","","","https://www.kisrating.com/"
"(주)제주대동","","","한국신용평가","","","","A3","","2026.06.25","https://www.kisrating.com/"
"(주)조선호텔앤리조트","","","한국신용평가","","","","A2","","2026.06.24","https://www.kisrating.com/"
"(주)종근당","","","한국신용평가","AA-","안정적","2026.06.17","","","","https://www.kisrating.com/"
"(주)종근당홀딩스","","","한국신용평가","A+","안정적","2026.06.17","","","","https://www.kisrating.com/"
"(주)지에스","","","한국신용평가","AA","안정적","2026.06.19","A1","","2026.06.19","https://www.kisrating.com/"
"(주)지에스리테일","","","한국신용평가","AA","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)지에스스포츠","","","한국신용평가","","","","A3+","","2026.06.29","https://www.kisrating.com/"
"(주)지에스이앤알","","","한국신용평가","A+","안정적","2026.06.26","","","","https://www.kisrating.com/"
"(주)카카오뱅크","","","한국신용평가","AA+","안정적","2026.06.26","","","","https://www.kisrating.com/"
"(주)캠시스","","","한국신용평가","BB","안정적","2026.05.13","","","","https://www.kisrating.com/"
"(주)컴투스","","","한국신용평가","A-","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)컴투스홀딩스","","","한국신용평가","","","","A3-","","2026.06.30","https://www.kisrating.com/"
"(주)케이비국민카드","","","한국신용평가","AA+","안정적","2026.06.30","A1","","2026.06.01","https://www.kisrating.com/"
"(주)케이비금융지주","","","한국신용평가","AAA","안정적","2026.07.01","A1","","2026.06.29","https://www.kisrating.com/"
"(주)케이씨씨","","","한국신용평가","AA-","안정적","2026.04.27","A1","","2026.04.27","https://www.kisrating.com/"
"(주)케이씨씨건설","","","한국신용평가","A-","안정적","2026.04.16","A2-","","2026.04.16","https://www.kisrating.com/"
"(주)케이씨씨글라스","","","한국신용평가","AA-","부정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)케이이씨","","","한국신용평가","","","","A1","","2026.06.26","https://www.kisrating.com/"
"(주)케이지이니시스","","","한국신용평가","A","안정적","2026.05.29","","","","https://www.kisrating.com/"
"(주)케이카캐피탈","","","한국신용평가","BBB+","안정적","2026.04.22","A3+","","2026.06.22","https://www.kisrating.com/"
"(주)케이티","","","한국신용평가","AAA","안정적","2026.06.05","A1","","2026.06.05","https://www.kisrating.com/"
"(주)케이티스카이라이프","","","한국신용평가","AA-","안정적","2026.06.02","","","","https://www.kisrating.com/"
"(주)케이티앤지","","","한국신용평가","AAA","안정적","2026.04.30","A1","","2026.04.30","https://www.kisrating.com/"
"(주)케이티에스테이트","","","한국신용평가","","","","A1","","2026.06.11","https://www.kisrating.com/"
"(주)코람코라이프인프라위탁관리부동산투자회사","","","한국신용평가","A-","안정적","2026.05.29","A2-","","2026.05.29","https://www.kisrating.com/"
"(주)코람코자산신탁","","","한국신용평가","A","안정적","2026.06.26","A2","","2026.06.26","https://www.kisrating.com/"
"(주)코리아세븐","","","한국신용평가","A","부정적","2026.06.26","A2","","2026.06.26","https://www.kisrating.com/"
"(주)키움저축은행","","","한국신용평가","A-","부정적","2026.06.26","","","","https://www.kisrating.com/"
"(주)토리컴","","","한국신용평가","","","","A1","","2026.06.29","https://www.kisrating.com/"
"(주)티빙","","","한국신용평가","","","","A3","","2026.04.01","https://www.kisrating.com/"
"(주)티씨씨스틸","","","한국신용평가","BB+","부정적","2026.04.16","","","","https://www.kisrating.com/"
"(주)파라다이스","","","한국신용평가","A+","안정적","2026.04.20","","","","https://www.kisrating.com/"
"(주)팬코","","","한국신용평가","BB","부정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)포스코","","","한국신용평가","AA+","안정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)포스코디엑스","","","한국신용평가","","","","A2+","","2026.06.29","https://www.kisrating.com/"
"(주)포스코이앤씨","","","한국신용평가","A+","부정적","2026.06.30","A2+","","2026.06.30","https://www.kisrating.com/"
"(주)포스코인터내셔널","","","한국신용평가","AA-","긍정적","2026.04.10","","","","https://www.kisrating.com/"
"(주)포스코퓨처엠","","","한국신용평가","AA-","안정적","2026.06.22","","","","https://www.kisrating.com/"
"(주)풍산","","","한국신용평가","AA-","안정적","2026.04.09","A1","","2026.04.09","https://www.kisrating.com/"
"(주)하나금융지주","","","한국신용평가","AAA","안정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)하나금융티아이","","","한국신용평가","","","","A1","","2026.06.09","https://www.kisrating.com/"
"(주)하나은행","","","한국신용평가","AAA","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)하나저축은행","","","한국신용평가","A-","안정적","2026.04.30","","","","https://www.kisrating.com/"
"(주)하림지주","","","한국신용평가","A-","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)하이프라자","","","한국신용평가","","","","A2+","","2026.06.12","https://www.kisrating.com/"
"(주)하이호휠","","","한국신용평가","BB","안정적","2026.06.01","","","","https://www.kisrating.com/"
"(주)한국스탠다드차타드은행","","","한국신용평가","AAA","안정적","2026.06.29","","","","https://www.kisrating.com/"
"(주)한국씨티은행","","","한국신용평가","AA+","안정적","2026.05.14","","","","https://www.kisrating.com/"
"(주)한국토지신탁","","","한국신용평가","A-","안정적","2026.05.20","","","","https://www.kisrating.com/"
"(주)한국투자저축은행","","","한국신용평가","A","부정적","2026.05.08","","","","https://www.kisrating.com/"
"(주)한솔케미칼","","","한국신용평가","A+","안정적","2026.06.26","","","","https://www.kisrating.com/"
"(주)한솔홈데코","","","한국신용평가","","","","A3","","2026.06.19","https://www.kisrating.com/"
"(주)한진","","","한국신용평가","BBB+","긍정적","2026.07.09","","","","https://www.kisrating.com/"
"(주)한진칼","","","한국신용평가","A-","긍정적","2026.05.26","","","","https://www.kisrating.com/"
"(주)한화","","","한국신용평가","A+","안정적","2026.06.17","A2+","","2026.06.17","https://www.kisrating.com/"
"(주)한화저축은행","","","한국신용평가","A-","부정적","2026.04.30","","","","https://www.kisrating.com/"
"(주)해줌","","","한국신용평가","B-","부정적","2026.04.24","","","","https://www.kisrating.com/"
"(주)현대그린푸드","","","한국신용평가","","","","A1","","2026.06.26","https://www.kisrating.com/"
"(주)현대리바트","","","한국신용평가","","","","A2+","","2026.06.26","https://www.kisrating.com/"
"(주)현대백화점","","","한국신용평가","AA+","안정적","2026.04.24","A1","","2026.06.26","https://www.kisrating.com/"
"(주)현대엘앤씨","","","한국신용평가","","","","A2","","2026.06.26","https://www.kisrating.com/"
"(주)현대지에프홀딩스","","","한국신용평가","AA+","안정적","2026.06.26","A1","","2026.06.26","https://www.kisrating.com/"
"(주)현대케피코","","","한국신용평가","A+","안정적","2026.06.10","","","","https://www.kisrating.com/"
"(주)현대홈쇼핑","","","한국신용평가","","","","A1","","2026.06.26","https://www.kisrating.com/"
"(주)형지엘리트","","","한국신용평가","B+","부정적","2025.12.19","","","","https://www.kisrating.com/"
"(주)호반건설","","","한국신용평가","A","안정적","2026.06.26","A2","","2026.06.26","https://www.kisrating.com/"
"(주)호반산업","","","한국신용평가","A-","안정적","2026.06.26","A2-","","2026.06.26","https://www.kisrating.com/"
"(주)호텔롯데","","","한국신용평가","AA-","안정적","2026.06.18","A1","","2026.06.18","https://www.kisrating.com/"
"(주)호텔신라","","","한국신용평가","AA-","안정적","2026.06.29","","","","https://www.kisrating.com/"
"(주)화신","","","한국신용평가","BBB+","안정적","2026.04.08","","","","https://www.kisrating.com/"
"(주)효성","","","한국신용평가","","","","A2","","2026.06.18","https://www.kisrating.com/"
"(주)휴비스","","","한국신용평가","BBB+","안정적","2026.04.23","","","","https://www.kisrating.com/"
"(주)흥아","","","한국신용평가","BB-","안정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)흥화","","","한국신용평가","BBB","부정적","2026.06.19","A3","","2026.06.19","https://www.kisrating.com/"
"(학)건국대학교","","","한국신용평가","AA","안정적","2026.02.12","","","","https://www.kisrating.com/"
"AJ네트웍스","","","NICE신용평가","BBB+","안정적","2026.06.09","A3+","","2026.06.09","https://www.nicerating.com/"
"BNK금융지주","","","NICE신용평가","AAA","안정적","2026.06.24","","","","https://www.nicerating.com/"
