corp_name,corp_code,ticker,industry,keywords
신세계건설,00217947,034300,건설,신세계건설 PF 리파이낸싱 건설 업황
서진시스템,00838005,178320,전자부품,서진시스템 ESS 증설 투자 CAPEX
코오롱인더스트리,00795135,120110,소재,코오롱인더스트리 화학 소재 스프레드
롯데케미칼,00105271,011170,소재,롯데케미칼 석유화학 투자 업황
HLB,00358995,028300,바이오,HLB 임상 인허가 자금조달
